q/species;Plantago lanceolata ;Dactylis glomerata ;Poa pratensis ;Deschampsia sp.;Agrostis capillaris ;Thin grass sp.;Thick grass sp.;Species 1;Cirsium arvense ;Rumex obustifolius ;Arrhenatherum elatius ;Species 2;Geum sp. ;Phleum pratense ;Urtica dioica;Cirsium palustre;Pestuca rubra;Sp 3;Sp 4;Sp 5;Sp 6;Trifolium ripens ;Ranunculus ripens ;Ranunculus acres ;Angelica sylvestris ;Hoculus lanatus;Dried plant sp ;Elytriga repens ;Stellaria alsine ;Poa Trebialis;lathyrus palustris ;veronica chamaedrys;Vicia cracca;Cynosurus cristatus;Rumex Acetosa;DEAD/OPEN;TOTAL %;Tot n species;;
B-1.1;0,05;;;;;0,54;;;;;;;;;;;;;;;;0,15;;;;;;0,2;0,01;;;;;;;0,05;1;5;;
B-1.2;;;;;0,5;;;;;;;;;;;;;;;;;0,02;;;;0,35;;;;;0,05;0,05;;;;0,03;1;5;;
B-1.3;;0,2;;;0,3;;;;;;0,15;;;;;;;;;;;;;;;0,3;;;;;0,02;;;;;0,03;1;5;;
B-1.4;;;;;0,1;;;;;;0,1;;;;;;;;;;;;;;;0,72;;;;;0,03;;0,05;;;;1;5;;
B-2.1;;0,02;;;0,25;;;;;;0,4;;;;;;;;;;;0,03;;;;;;0,25;;;;;;;;0,05;1;5;;
B-2.2;;;;;0,7;0,15;;;;;;;;;;;;;;;;0,07;;;;;;;;;0,05;;;0,03;;;1;5;;
B-2.3;;0,33;;;;;;;;;0,05;;;;;;;;;;;;;;;;;;;0,15;;0,07;;;;0,4;1;4;;
B-2.4;;;;;0,2;;;;0,01;;0,15;;;;;;;;;;;;;;;0,45;;;;;;0,1;;;;0,09;1;5;;
B-3.1;;0,05;;;0,52;;;;;;0,1;;;;;;;;;;0,03;;;;;;;;;;;0,005;;;;0,295;1;5;;
B-3.2;;;;;0,65;;;;;;;;;;;;;;;;;;0,03;;;0,3;;;;;;;;;;0,02;1;3;;
B-3.3;;;;;0,55;;;;;0,01;;;;;;;;;;;;;0,01;;;0,4;;;;;;;;;;0,03;1;4;;
B-3.4;;;;;0,35;;;;0,06;;0,2;;;;;;;;;;;;;;;;;0,01;;;;;0,05;;0,1;0,23;1;6;;
B-4.1;;0,15;;;;;;;;;;;;;;;;;;;;0,05;;;;;;0,75;;;;;;;;0,05;1;3;;
B-4.2;;0,69;;;0,1;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;0,01;1;3;;
B-4.3;0,03;;;;0,44;;;;0,03;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;1;4;;
B-4.4;;;;;0,3;;;;;;0,03;;;;;;;;;;;;;;;0,57;;;;;;;;;0,1;;1;4;;
B-5.1;;;;;0,8;;;;;;;;;;;;;;;;;;;;;0,07;;;;;;0,12;;;;0,01;1;3;;
B-5.2;;;;;0,6;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;1;2;;
B-5.3;;;;;0,35;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;1;2;;
B-5.4;;;;;0,2;;;;;;;;;;;;;;;;;;;;;0,8;;;;;;;;;;;1;2;;
B-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,95;;;;;;;;0,05;1;1;;
B-6.2;;0,01;;;0,2;;;;;;;;;;;;;;;;;;;;;0,64;;0,15;;;;;;;;;1;4;;
B-6.3;;0,03;;;0,15;;;;;;0,25;;;;;;;;;;;;;;;0,5;;0,07;;;;;;;;;1;5;;
B-6.4;;0,3;;;0,2;;;;;;0,07;;;;;;;;;;;;;;;0,4;;;;;;;;;0,03;;1;5;;
B-7.1;;;;;0,47;;;;;;;;;;;;;;;;;;0,35;;;0,03;;;;;;;;;;0,15;1;3;;
B-7.2;;;;;0,3;;;;;;;;;;;;;;;;;;0,45;;;0,25;;;;;;;;;;;1;3;;
B-7.3;;;;;0,25;;;;;;;;;;;;;;;;;;0,5;;;0,25;;;;;;;;;;;1;3;;
B-7.4;;;;;0,35;;;;;;;;;;;;;;;;;;0,15;;;0,5;;;;;;;;;;;1;3;;
